pointer,field,chars,text_digest
/components/parameters/PromptTokenMin/description,description,31,sha256-fc8be52a3338becdd96bd9dd116d36e7fcd526879767b08e57535b3220937dcf
/components/parameters/RateLimitsPolicyId/description,description,23,sha256-ffbfd52ec74c4d68585e8814d9b2459a6f2b8826d21c7d52121119e3b3bb2c18
/components/parameters/SpanId/description,description,24,sha256-f942dc4c1c0567acd31368eb73aedebfb6287658636aa31066f0ac119b766c8b
/components/parameters/SpanId/example,example,33,sha256-3b12655b161ff6d5fc64052bb79e86c0f1128ddd2537e31be0ad486ebfcf94c6
/components/parameters/StatusCode/description,description,37,sha256-f7816d069847520491b019dd24bae9518e21300dc4739ad5cda71be614f84d9a
/components/parameters/StatusCode/example,example,7,sha256-777656e7cbd3d656f8a99cd6dea04843e07e31a201f2fb15a6970b2ee7d0f494
/components/parameters/TimeOfGenerationMax/description,description,73,sha256-70b5269e93a022402ba62fa00cfebdc4475bc001851983720a482358d659832f
/components/parameters/TimeOfGenerationMax/schema/example,example,25,sha256-770310e1a8346d666aa2c8a301faf323cac736d924216cdad7709b8086fd0398
/components/parameters/TimeOfGenerationMin/description,description,73,sha256-9c5985720dcada9071d18242deb1bc79d05596f81edae8a84a0e0b3a16173f0e
/components/parameters/TimeOfGenerationMin/schema/example,example,25,sha256-24877ec0490ef9bc8b461c6c30cc5d5691793a2fcd539a1c3f36742fef6f68a6
/components/parameters/TotalUnitsMax/description,description,28,sha256-2e854d8018c881a341c92cd509db5e5dbcca86d14ab30caebf1396244344ff49
/components/parameters/TotalUnitsMin/description,description,28,sha256-23043226ba1715bee9110330fcc5b6b68e8838d65e2777f194fac3c406bedfb6
/components/parameters/TraceId/description,description,25,sha256-4c7e0f3f64508ef86b66a9380442cdc5ff974842a5c480ca1215f4aa0ffa173c
/components/parameters/TraceId/example,example,35,sha256-153a22114b094f9c938bff175cc30f6b25ce4b0860506ae9f10c61bff0f513ee
/components/parameters/UsageLimitsPolicyEntityId/description,description,29,sha256-df6b3ccb2aa93a11f7a8f7cd7e6222b93929608f0ff92e512aac2a86944c0bc9
/components/parameters/VirtualKeys/description,description,33,sha256-b8663ccef82c4fdcbd43d1c3177d955dd63cc6e5d843ae6418f470407896601c
/components/parameters/VirtualKeys/example,example,19,sha256-8d9c1dd25c71fcc338045d8d9d0bdf1bb67600fbd8c509131a1db3d5d139f73c
/components/parameters/WeightedFeedbackMax/description,description,31,sha256-cc9d0cd093c7189411a882a4a2bb007f8f5ffc8f05b5ada88390573c8190e6df
/components/parameters/WeightedFeedbackMin/description,description,31,sha256-b6fdc5b56472313c4dbe1e41969b7a609584695bdb8ceb5fefbe6d78de8df319
/components/parameters/WorkspaceIdQuery/description,description,20,sha256-93cedc7cc765d98072bd3ecdabf39951ee16537049f1a17c3de6248fa2ed2061
/components/parameters/WorkspaceSlug/description,description,210,sha256-6c86a666d0e2d4bfdb2cd1aeca64f33778145c1d889f316cea534fce145ec68f
/components/schemas/AcuvityScanParameters/properties/biased/description,description,21,sha256-54798a2ba21305f42c374d6389eb8df478e0d0edfc15af67ccb99c31e66143db
/components/schemas/AcuvityScanParameters/properties/biased_threshold/description,description,28,sha256-4ec2c77970a33427ff88ba4858197f1afbd049d7fe5f66057615b7693c1e2942
/components/schemas/AcuvityScanParameters/properties/harmful/description,description,32,sha256-d7416e69f3c9795d01cd1230630e845c28eeb7ad85793105cfbad2ddedf252fb
/components/schemas/AcuvityScanParameters/properties/harmful_threshold/description,description,39,sha256-0fb1ea20bf43a6333d19142b6f486038260b4b467d5d050e100d8aa30ef68066
/components/schemas/AcuvityScanParameters/properties/jail_break/description,description,26,sha256-093cb44827050bbe28dbf6f6e481c077c0086333268eb959b35d926c1f89ace5
/components/schemas/AcuvityScanParameters/properties/jail_break_threshold/description,description,33,sha256-64edf5e8b1ea399c0f50eb99bfa6035f41665f72cd58609f43145374138b0717
/components/schemas/AcuvityScanParameters/properties/language/description,description,21,sha256-1a7f1aeadc3f5a6787cd8888ce347073023dedcce4575ac32356884e37af7e77
/components/schemas/AcuvityScanParameters/properties/language_values/description,description,17,sha256-ba7a5940f2161fc37251b1fae44e6671025ce3c2b7c990ed7a87e213c38b0e26
/components/schemas/AcuvityScanParameters/properties/malicious_url/description,description,30,sha256-8209d57faf759c5a15f5dc61cfdf046a350c4fb804321ae65af4853bb10408ae
/components/schemas/AcuvityScanParameters/properties/malicious_url_threshold/description,description,37,sha256-bacdfddc1966a94ce88a9bbc42eb33b83bfdeb01084778ea433d3a8d57097637
/components/schemas/AcuvityScanParameters/properties/pii/description,description,20,sha256-9c84bde3fac7efbd6b3f1592586a43f8b13471df8ae582ddb4a6441e4f4fc056
/components/schemas/AcuvityScanParameters/properties/pii_categories/description,description,24,sha256-694dbd57ea7c4d65806e790b061cee5bec18a80bcab8d82cfa8619d41b451aab
/components/schemas/AcuvityScanParameters/properties/pii_redact/description,description,20,sha256-80f68564a3f6f30ba9fc8f4394081ed4a85c84f9c5160fbc4ac5035e6007e726
/components/schemas/AcuvityScanParameters/properties/prompt_injection/description,description,33,sha256-10ea59dc3ce9d224057a59788f052720b63a4626aeb8f9a6058f4004b6a50548
/components/schemas/AcuvityScanParameters/properties/prompt_injection_threshold/description,description,40,sha256-09e6accd0aef767c5f4eaf8b6ec1939176ff294a9d5be16893cb35ea2a2066ad
/components/schemas/AcuvityScanParameters/properties/secrets/description,description,24,sha256-a673e3c3b3e3a17804986dc6c8e83ea0452ad0e72ca4ef68afc32750fb0162d1
/components/schemas/AcuvityScanParameters/properties/secrets_categories/description,description,27,sha256-2ae0283acb84090024d8c073f5c74c89a9c84f2f7462005a1e3b4fc4e06f0e6c
/components/schemas/AcuvityScanParameters/properties/secrets_redact/description,description,24,sha256-c75282e4a0d3bfa009c11ceaae0a2bef43082d44572d97af73e5522c257f3f5b
/components/schemas/AcuvityScanParameters/properties/timeout/description,description,23,sha256-b113d346932d0df037b46e0fd1c42634a043759fb73ad34188a129d4070fb120
/components/schemas/AcuvityScanParameters/properties/toxic/description,description,25,sha256-dc575ba4fcea04de0d140408ad4614350b13e4d4190ef8064d9def6aff6e9636
/components/schemas/AcuvityScanParameters/properties/toxic_threshold/description,description,32,sha256-084f8d96b60191804461bfbc94954e05b6b53e20218b8b549d6cea2a83637977
/components/schemas/AllowedRequestTypesParameters/description,description,186,sha256-aa346b94585cf75c950a4e47b85b3c4595fa78d4e7d4922c9aea50fdc6070e51
/components/schemas/AllowedRequestTypesParameters/properties/allowedTypes/description,description,85,sha256-347c01f1692070e209b97b6160310db4171c67b1e6d6b9935d3168ec1f4d0752
/components/schemas/AllowedRequestTypesParameters/properties/blockedTypes/description,description,77,sha256-4ffed5b21725acc5defe483d4dcb985e620331fcd81a49b249144e2daf2de286
/components/schemas/AnalyticsMetrics/description,description,46,sha256-361c15f1977dca3338d0ee9aec3a767c6aadb10687c26f5b307dc385a57c2f9c
/components/schemas/AnalyticsMetrics/properties/ai_model/description,description,13,sha256-3729f40b0ccdfb6fb3efac1d6abdf3905b2655b8ee9477b2cf4b9b99efe5cc14
/components/schemas/AnalyticsMetrics/properties/ai_model/example,example,6,sha256-a2a69af70d1b9be70f1abf8218492c5e65aea34285462bd65757cd6f44a7c10e
/components/schemas/AnalyticsMetrics/properties/ai_org/description,description,50,sha256-3819d8ae2aba1713c4eefd3b61a4e6915bf90ca3b9f767f45691d241461f9166
/components/schemas/AnalyticsMetrics/properties/ai_org/example,example,6,sha256-7d3194f79e645c42e4396dda38be04766810ec6a00d00aced3ffc2a0a1f1a9ef
/components/schemas/AnalyticsMetrics/properties/api_key_id/description,description,18,sha256-543f9c0773f5ea2ed83db6d991d083e463e805e1f7ae460094646720fb7bc4fb
/components/schemas/AnalyticsMetrics/properties/api_key_id/example,example,11,sha256-074c1fd1ac9d1c67ec22e8ae841db4c570a2740372e70b0bc3c763416cac9ca0
/components/schemas/AnalyticsMetrics/properties/cache_processing_time/description,description,47,sha256-8a3ca296db67febad10b3279a542c9161a10236acf2dc49a09dbe4bc683d0c73
/components/schemas/AnalyticsMetrics/properties/cache_processing_time/example,example,6,sha256-d6bae4a60ad0ef8a6dee9a3fadb606d0e8cc0092a74b7e36dcbd2260e3526b8d
/components/schemas/AnalyticsMetrics/properties/cache_status/description,description,54,sha256-7bb25fec7088e398545e272afeced39f21b2a19b58793edf169ad4dd744da327
/components/schemas/AnalyticsMetrics/properties/cache_status/example,example,4,sha256-e0a896a8529917338531599bfbbff2e4ca92606748fb91dd2f4703a54bdf2180
/components/schemas/AnalyticsMetrics/properties/cache_type/description,description,18,sha256-22e715fd79731b824541e5d19cd124eb8d29b199d4117e05230b1bc5e27774bb
/components/schemas/AnalyticsMetrics/properties/cache_type/example,example,8,sha256-3784070fe3e7e3de5f0ec08eadfa10acbaa0f543916b1ab2c68f371924ff7db3
/components/schemas/AnalyticsMetrics/properties/config/description,description,24,sha256-f3be6e5d7bf30036221437303c905dfe541a521a39064e2f0fc7fefb8f055692
/components/schemas/AnalyticsMetrics/properties/config/example,example,13,sha256-fa6014dc9a803709db06d24c9e56893df1ce7f5adf6202bb447c47ebdfa4737f
/components/schemas/AnalyticsMetrics/properties/config_id/description,description,24,sha256-efbd705abfee742852d48bbeca1fcbae3235da378bf70bc2e6eab19ce32ec888
/components/schemas/AnalyticsMetrics/properties/config_id/example,example,10,sha256-92f68d63b30df4104aacdac3e614702e6a184ef0b0b7761479cb3b25fd219e5d
/components/schemas/AnalyticsMetrics/properties/config_version_id/description,description,32,sha256-e5fd2172dc5d2debec9226b8d6daf4ea91f6de2c2ea37172b4fe00662e6d7267
/components/schemas/AnalyticsMetrics/properties/config_version_id/example,example,9,sha256-e3155b20e134632816c8611c4e9ee5cbd0e00689f7c4c955ee9f896580d02fdb
/components/schemas/AnalyticsMetrics/properties/cost/description,description,30,sha256-fce4258081485f74d113862ba2683b4d6cff97a369edbfe074291da4c5edb158
/components/schemas/AnalyticsMetrics/properties/cost/example,example,10,sha256-e5f0f840b2ca63a765ce5ecc036056ed4a8d008ad686530a538f278027bc3cba
/components/schemas/AnalyticsMetrics/properties/cost_currency/description,description,26,sha256-562fc352b1970e4be417ce433d5d144e9a0a6b2dc02d5722c5ac9feb709bf7a0
/components/schemas/AnalyticsMetrics/properties/cost_currency/example,example,3,sha256-a26cdf3a6e709124385d4d7eb9bff6b897a58ed5597fbab779b89849dbe81b21
/components/schemas/AnalyticsMetrics/properties/created_at/description,description,34,sha256-e418b9acd78b86103ab86bb30d55803ecdf201c7e46b437057933a3152dcc832
/components/schemas/AnalyticsMetrics/properties/created_at/example,example,23,sha256-871d341d3e1e423f199d575f38d7bddc99129333aff4eeec6d40af943b8ba634
/components/schemas/AnalyticsMetrics/properties/gateway_processing_time/description,description,45,sha256-d84617519dfe90e3c79035cb7e0c7ac2bf3e0a902265f2e8fc20809654e2e394
/components/schemas/AnalyticsMetrics/properties/gateway_processing_time/example,example,7,sha256-7bdd5f152d7ebe9d6af626289495d75d92a8d91d74dfcddf219fd03f7db4c406
/components/schemas/AnalyticsMetrics/properties/id/description,description,35,sha256-581d135320dd0cbd890b6e99c68588fb6a0589fa40d88a26d8f9dcbd756fb01b
/components/schemas/AnalyticsMetrics/properties/id/example,example,36,sha256-a3a9e1ed9732cab28868127be00f1ce921acaefdd5c3b23a6e9e0072bd9c1a34
/components/schemas/AnalyticsMetrics/properties/internal_trace_id/description,description,38,sha256-8a4df153a7794a6e7c3ef881e9c2c1f07c0563bcea1b7c381a7a39a485cde193
/components/schemas/AnalyticsMetrics/properties/internal_trace_id/example,example,18,sha256-6319da5d74bb0bfa91bd6cdf2c651f2f5163781a30082280d2aacd60dd58ec57
/components/schemas/AnalyticsMetrics/properties/is_proxy_call/description,description,29,sha256-8883e1f69e121d7877acc28061f554f53018ebce2e557c6c9c32a9cd08ff8721
/components/schemas/AnalyticsMetrics/properties/is_proxy_call/example,example,9,sha256-5078e85342382074fb0920497907c64e37c695c8eb6a5760228bc5d54248fe69
/components/schemas/AnalyticsMetrics/properties/is_success/description,description,56,sha256-47999daa17cbdb75554995f429c5de0f87546598dab82cf4144838b2fb6f9fce
/components/schemas/AnalyticsMetrics/properties/is_success/example,example,9,sha256-5078e85342382074fb0920497907c64e37c695c8eb6a5760228bc5d54248fe69
/components/schemas/AnalyticsMetrics/properties/last_used_option_index/description,description,43,sha256-3b86b59cde8fe06f7801e5c68366b5c345b8db9137db02638e9327b32f1ea998
/components/schemas/AnalyticsMetrics/properties/last_used_option_index/example,example,6,sha256-d1a64a1e0ab44cd7c752bedc59af8595c2ffdbce67bd98548dee867fe2e68a66
/components/schemas/AnalyticsMetrics/properties/log_store_file_path_format/description,description,35,sha256-0e3f9bce895db26ccc88a14311c2e61d6f57e6ed5f0964ee5b7acb794de977a9
/components/schemas/AnalyticsMetrics/properties/log_store_file_path_format/example,example,2,sha256-3bfc269594ef649228e9a74bab00f042efc91d5acc6fbee31a382e80d42388fe
/components/schemas/AnalyticsMetrics/properties/metadata.key/description,description,22,sha256-9bcbb9c5b4efef8bbb8de0a98551ae4a78f46e3f4a9b3466203214b649c3505a
/components/schemas/AnalyticsMetrics/properties/metadata.key/example,example,14,sha256-7c02b890c7f9130462dde5f9aad5c15a6173d1f712f3719f7caef7e64f07f09b
/components/schemas/AnalyticsMetrics/properties/metadata.value/description,description,24,sha256-f6897553a0e958a4da7f6bf1ad438b19b4c2eacc4abd53d99b1f2b930bd15621
/components/schemas/AnalyticsMetrics/properties/metadata.value/example,example,18,sha256-d7e43d6e2c8fc8770767b876da3172ae573c4955943cd9d57b4c72809cbe4f33
/components/schemas/AnalyticsMetrics/properties/mode/description,description,50,sha256-1944a7b08a4f3732e898ca99b4e11002e79ba4cd630364a185b4742f0c25e40e
/components/schemas/AnalyticsMetrics/properties/mode/example,example,6,sha256-947f187506f7629c81c81879a2cb2256455038e4ac770091d897fa0a8b945e3b
/components/schemas/AnalyticsMetrics/properties/organisation_id/description,description,23,sha256-d7f6cb5385e83aca26623cd8dda63a46d1ad8e46007ba69caed26bb52685c610
/components/schemas/AnalyticsMetrics/properties/organisation_id/example,example,7,sha256-83e582565905f7e5bc0074cd776abd13d7ca413991011906c51d96696b92c199
/components/schemas/AnalyticsMetrics/properties/organisation_name/description,description,17,sha256-9a807d52ba21603eed8114507b12c323ffe5881eaeb790904246e9a90f992661
/components/schemas/AnalyticsMetrics/properties/organisation_name/example,example,9,sha256-a73cb4563ee2e72ce0ce805d444364ecca6bebe02d04917915d6481de184abe3
/components/schemas/AnalyticsMetrics/properties/parent_span_id/description,description,37,sha256-bc8349458c214899869e919b7686ee67375aa78373f7acb9de2e14314c3aeec9
/components/schemas/AnalyticsMetrics/properties/parent_span_id/example,example,8,sha256-4d865cb912e076694be1785f4f12d01fe5b16dfc018655e877864392e27650e5
/components/schemas/AnalyticsMetrics/properties/pre_processing_time/description,description,45,sha256-e692679cec06ed0d63408e492d828b1f50c3d6ebf57ea5e05d548119d8c74ef4
/components/schemas/AnalyticsMetrics/properties/pre_processing_time/example,example,7,sha256-18fb6b1c4114b8425b5cf74613a966a0f85c25b5716ceadf553699ab6d10c1ee
/components/schemas/AnalyticsMetrics/properties/prompt_id/description,description,17,sha256-3fa659728e689d9c9c507db25ff378993153361ae43f11c151b2e07021e24b9e
/components/schemas/AnalyticsMetrics/properties/prompt_id/example,example,10,sha256-297c1a5e39fc0a77109407b51e369530dbd0425ca234972533dabbbf8dd4cf4c
/components/schemas/AnalyticsMetrics/properties/prompt_slug/description,description,11,sha256-03b10e36a795390292b2064d736111529813b36fff0e4f38a0409918628a8484
/components/schemas/AnalyticsMetrics/properties/prompt_slug/example,example,9,sha256-f630f93ebc760802fcc9588a18479bee93a095d813f3be1e2b2a5fe8646034e3
/components/schemas/AnalyticsMetrics/properties/prompt_version_id/description,description,25,sha256-ebdffa63686d900d7f8a11ce17ab5a47ac6548d0389a53b1635b7024b25e7660
/components/schemas/AnalyticsMetrics/properties/prompt_version_id/example,example,9,sha256-fc9eb607c91880dc0f55b213fda2a4ce801e8fda2c2239bc2d4020d6e697a87c
/components/schemas/AnalyticsMetrics/properties/req_units/description,description,19,sha256-c6a51ee29687cd20b08fc96978fbcf316efe8ff564de6d6ef169ed7789200a0d
/components/schemas/AnalyticsMetrics/properties/req_units/example,example,8,sha256-1aab8ebdafee212923f0d79343279ca8ec3083564893367228d18e9fd7acd027
/components/schemas/AnalyticsMetrics/properties/request_method/description,description,11,sha256-c00904931215fbb82bb449fcc55d2bdf8941e3f37a7ab5f319857247ff73bdc3
/components/schemas/AnalyticsMetrics/properties/request_method/example,example,4,sha256-9aee6b1bcdf617d8e39bb1f2b624c68ea33deb9d48e0364aeaded836d3d00293
/components/schemas/AnalyticsMetrics/properties/request_parsing_time/description,description,47,sha256-d397bf4247e49aedfaebd3cf953dc1948ac560f611c7791dadb8da9e1b05918b
/components/schemas/AnalyticsMetrics/properties/request_parsing_time/example,example,6,sha256-758ca42db68ed865503226dfe648c488e77fde785b819c005861bff975b83a2d
/components/schemas/AnalyticsMetrics/properties/request_url/description,description,21,sha256-e91497d8b6b8f54737153c86bcf2b2697d28ce04b9db28b8df8452bfd0b34d49
/components/schemas/AnalyticsMetrics/properties/request_url/example,example,42,sha256-82141e272189210ab931267ec91313de3460102092ac4f85b284b44db52b0caf
/components/schemas/AnalyticsMetrics/properties/res_units/description,description,20,sha256-aae14c587efda85070d42f2c116ff1acaf2a05decc9420568477fe94ade05202
/components/schemas/AnalyticsMetrics/properties/res_units/example,example,7,sha256-7bdd5f152d7ebe9d6af626289495d75d92a8d91d74dfcddf219fd03f7db4c406
/components/schemas/AnalyticsMetrics/properties/response_parsing_time/description,description,48,sha256-003eb9ab85c1ab105e001fe45eb488e226f6187fd8b13ba59b598cdd00d2b003
/components/schemas/AnalyticsMetrics/properties/response_parsing_time/example,example,6,sha256-0914b5ddf42acde63481c3745a73272d33e6cbc051c2c080e103772e20af1566
/components/schemas/AnalyticsMetrics/properties/response_status_code/description,description,25,sha256-7af1be9354db58d2c769c1c38f8b6066a77af1e4b1706f8301eebd792fa8a861
/components/schemas/AnalyticsMetrics/properties/response_status_code/example,example,8,sha256-22c4f12557ff6e837ccce24b5a68ac649bb66c975f2342fa898d1c236eb9d1bf
/components/schemas/AnalyticsMetrics/properties/response_time/description,description,29,sha256-f27484f261309cc49f6486fe978aed82c0f029af0430bce4d9aadab86bbccee5
/components/schemas/AnalyticsMetrics/properties/response_time/example,example,9,sha256-1f4d1ab9fa67e1057ada6452d0e145f1125c5f5989b003f591de143cfef943c9
/components/schemas/AnalyticsMetrics/properties/retry_success_count/description,description,28,sha256-1d078288fd609b733437e60fdb1aa501ddb1c12a78eafeaddc4243821745f22c
/components/schemas/AnalyticsMetrics/properties/retry_success_count/example,example,6,sha256-d1a64a1e0ab44cd7c752bedc59af8595c2ffdbce67bd98548dee867fe2e68a66
/components/schemas/AnalyticsMetrics/properties/runtime/description,description,19,sha256-683fa9b6d76b361047c761ea32f4a524c70743121f162bf4caa33b919b639435
/components/schemas/AnalyticsMetrics/properties/runtime/example,example,4,sha256-545ea538461003efdc8c81c244531b003f6f26cfccf6c0073b3239fdedf49446
/components/schemas/AnalyticsMetrics/properties/runtime_version/description,description,15,sha256-72484f5d7f8ff0fa7f29a8d67e5e9c30d13ea2bf272775f14a79ab5d19295a0c
/components/schemas/AnalyticsMetrics/properties/runtime_version/example,example,6,sha256-ff4b3b5dcdd47c831424a9e41e6ec59604c1c353db741f9eb79b1ab1107470fe
/components/schemas/AnalyticsMetrics/properties/sdk_version/description,description,11,sha256-90a40b04f80da22b1332aea37308aed0e57f60e2f57feac1330ee5fa5256279d
/components/schemas/AnalyticsMetrics/properties/sdk_version/example,example,5,sha256-92521fc3cbd964bdc9f584a991b89fddaa5754ed1cc96d6d42445338669c1305
/components/schemas/AnalyticsMetrics/properties/source/description,description,43,sha256-483e84aec7c3e783608cb43931c70c68359ad66af85ea70b4c1aeaffa46195e2
/components/schemas/AnalyticsMetrics/properties/source/example,example,6,sha256-61dc8e256e60e07a4bc4ae293875590c18fafeb8cb129802e72423b3f8cfda5a
/components/schemas/AnalyticsMetrics/properties/span_id/description,description,27,sha256-494ae62d38f4d6ae4b1991ab9b885cbef3c4baf950449e82f98decc8e0c6a74f
/components/schemas/AnalyticsMetrics/properties/span_id/example,example,8,sha256-cbcd2a5246a2d2c0297812c1f2b209342a08e67758dcb7071c292c094f846417
/components/schemas/AnalyticsMetrics/properties/span_name/description,description,16,sha256-ef90315df7c7806223d8466846f44f9cc72ae7f33ef1597a18f49f2a57fef364
/components/schemas/AnalyticsMetrics/properties/span_name/example,example,3,sha256-487b91042c7cf27a19e23ea8699f5f354b1a0c3af9e418138dc6150d830f970d
/components/schemas/AnalyticsMetrics/properties/stream_mode/description,description,44,sha256-3412afc3a31f3965f01afe5bcde4d1208fefee8905bf59e397347c1aef36f71e
/components/schemas/AnalyticsMetrics/properties/stream_mode/example,example,6,sha256-0b6477aecfbf4beb7578413d2833a505e8f36d56a749ed3fcc43f85c537408d9
/components/schemas/AnalyticsMetrics/properties/total_units/description,description,41,sha256-b1135de8e0487dc03c9aaa62863ddd9601d6f586339bc1bf245d2dd23a98ff1e
/components/schemas/AnalyticsMetrics/properties/total_units/example,example,8,sha256-3337b5c226196d3ed6ea40a74da08b70c47aecec290116f60997d4c59f85faa2
/components/schemas/AnalyticsMetrics/properties/trace_id/description,description,28,sha256-6d024667806c080127ca259a208967eb3f5de57cf48599c81ab26d26680263c5
/components/schemas/AnalyticsMetrics/properties/trace_id/example,example,9,sha256-050b35275fef8c7a6e02c3e98bf2fdf9416fb5916214412f0ec7efb7875e5732
/components/schemas/AnalyticsMetrics/properties/upstream_response_time/description,description,47,sha256-6c7ea1883ad3d2a3ac347570de281d15645b649324b569b3fe0734940b3d4bb6
/components/schemas/AnalyticsMetrics/properties/upstream_response_time/example,example,9,sha256-a140d261f984178993c94de04fa37a9ac6e49abacd2cdd4219a64b53cf533df2
/components/schemas/AnalyticsMetrics/properties/virtual_key/description,description,22,sha256-7253b547f9f3c9f3edf94bb3de906b53011422273efe0f9ef30376fa52bdbe0b
/components/schemas/AnalyticsMetrics/properties/virtual_key/example,example,6,sha256-9722f818ef376bd34a00c1804668bb068e61a827fb6c39bf86226dda3232879e
/components/schemas/AnalyticsMetrics/properties/workspace_slug/description,description,14,sha256-13f34e9e41a80e14c2de21a25261c61c4271e6c62968e5058e0bd0d43f237045
/components/schemas/AnalyticsMetrics/properties/workspace_slug/example,example,12,sha256-513d0aea38d5c2ab7c9b99a34a97369b89c659f9bcaaac587a8674406c5c26c5
/components/schemas/ApiKeyObject/properties/alert_emails/items/example,example,11,sha256-0c7e6a405862e402eb76a70f8a26fc732d07c32931e9fae9ab1582911d2e8a3b
/components/schemas/ApiKeyObject/properties/created_at/example,example,20,sha256-3d0c1cb162a1d13214d094e618b8c28e29291d894663c7c0d15ebc2d1ba3d86f
/components/schemas/ApiKeyObject/properties/creation_mode/example,example,2,sha256-d3ef7de562f9a4a34a9a0b05a112955fdecdd0102c3faae5eeb03a195091a5e4
/components/schemas/ApiKeyObject/properties/defaults/properties/config_id/example,example,10,sha256-7ef1a61df79f0796992d8aad74b09ed5168ced88e160a4d452fa53f67b369e9f
/components/schemas/ApiKeyObject/properties/defaults/properties/metadata/example,example,39,sha256-2c262d7e053e4f37e2f6f9eb4735fbcca5949c20d1f38465187cd6f73fcf55fa
/components/schemas/ApiKeyObject/properties/description/example,example,35,sha256-691d89c7f0eb522b07788f1969f7e221b5c3481989a1affaa7853853b2fb6d5e
/components/schemas/ApiKeyObject/properties/id/example,example,36,sha256-8f400c257611ed5d30c0e6607ac61074307dfa24cf70a8e92c3e8147d67d2c70
/components/schemas/ApiKeyObject/properties/key/example,example,11,sha256-a8269f9168fbce3f1d98623317c7772acf61592e2a5984089d26a7aca22579ce
/components/schemas/ApiKeyObject/properties/last_updated_at/example,example,20,sha256-3d0c1cb162a1d13214d094e618b8c28e29291d894663c7c0d15ebc2d1ba3d86f
